unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
447a39a6-0607-475d-bf24-db8a3d457e19,1608213067.3407738,[171535.53508],None,2017-12-28,0.1,000:02:31
4d89e64a-748c-4b6c-9f68-3c6428053844,1608213198.2073355,[170315.49688],None,2017-12-29,0.1,000:02:10
d83c255c-29d6-40ec-ba6f-eaef8160114e,1608213332.7364736,[170923.92836],None,2017-12-30,0.1,000:02:14
7b59db2b-4a81-4691-996f-342e4742e94b,1608213471.6133428,[176918.48244],None,2017-12-31,0.1,000:02:18
697dbe79-e8bd-401d-a47f-ee7cf6bb8df0,1608213624.391337,[181720.6976],None,2018-01-01,0.1,000:02:32
a069e948-995b-48fe-8d6e-12402acf068a,1608213775.3089151,[178527.91436],None,2018-01-02,0.1,000:02:30
666f6aa9-02ed-4bcb-844f-dbd9cec60093,1608213945.2924762,[183860.17796],None,2018-01-03,0.1,000:02:49
2b2a6ef8-fcba-4478-83f3-2a9950056a6b,1608214131.9544375,[185896.16984],None,2018-01-04,0.1,000:03:06
b6a0a6ef-8823-43a8-9171-803ec1a86265,1608214340.6552536,[184128.60288],None,2018-01-05,0.1,000:03:28
13491889-f0bb-4fd5-8ecd-231b0584c74d,1608214516.5123398,[181927.12144],None,2018-01-06,0.1,000:02:55
3fe66e51-0d2a-476c-b7b9-ca7e9295125b,1608214660.607951,[185681.65944],None,2018-01-07,0.1,000:02:24
8e5f22ab-1548-436d-87c4-d71db61c22aa,1608214785.4721773,[187393.59304],None,2018-01-08,0.1,000:02:04
0993e096-b403-449e-a467-8d22f3c64cc1,1608214918.110685,[177886.32328],None,2018-01-09,0.1,000:02:12
0a38e5df-1c7d-42a1-9ddf-ee34b550d3e3,1608215059.4558907,[180834.3922],None,2018-01-10,0.1,000:02:21
aeaa40c3-88c9-4ad8-860c-55b3d1a0a417,1608215143.677346,[166231.503],None,2018-01-11,0.1,000:01:24
4bed127b-3d86-499f-bf9a-1f8df15235f5,1608215180.1106815,[160399.03604],None,2018-01-12,0.1,000:00:36
3ab81a3a-3a51-4ba0-bce3-c95d3171ad77,1608215216.9264948,[159572.12112],None,2018-01-13,0.1,000:00:36
b7c6ca4d-f034-44fc-8813-32dfd4e3a3f1,1608215258.1334984,[162191.43356],None,2018-01-14,0.1,000:00:41
8d7c3554-d8cd-4b6a-93d4-e9d2ae59723b,1608215303.4149835,[165150.8346],None,2018-01-15,0.1,000:00:45
f79e8fb8-e9ca-4c93-b247-8a73b190f306,1608215351.74696,[163055.60064],None,2018-01-16,0.1,000:00:48
24f3fbac-f4d1-4f7b-9ccc-51ddc8b60bed,1608215389.9895635,[160387.295],None,2018-01-17,0.1,000:00:38
9195977e-10b9-4d49-a50f-428d322db1fa,1608215427.1794806,[160774.49808],None,2018-01-18,0.1,000:00:37
7bbce0b7-9d5b-45d4-ab5d-abcfbe801121,1608215461.9899652,[166797.67812],None,2018-01-19,0.1,000:00:34
4273c8e0-09b5-4a3d-a69e-8643889b9e67,1608215499.0786493,[159783.59232],None,2018-01-20,0.1,000:00:37
c3871678-120f-4d7b-8a51-36b4a195a568,1608215536.3787913,[159783.59232],None,2018-01-21,0.1,000:00:37
20bb2660-c245-4484-bfd7-ac5e62305c9f,1608215577.7568293,[155205.3426],None,2018-01-22,0.1,000:00:41
cc621c1d-f9e3-483f-8e2b-0205a1d9c800,1608215625.035108,[159195.40196],None,2018-01-23,0.1,000:00:47
f5bb7d0f-58e4-4d49-934d-c75054a6fec8,1608215675.7878637,[157025.90716],None,2018-01-24,0.1,000:00:50
6370fa4b-9086-40cd-89f2-b9209a96a34a,1608215723.7081127,[144861.57716],None,2018-01-25,0.1,000:00:47
a8ab2ea8-e325-4018-a1db-f28954878c59,1608215765.1025517,[143511.46492],None,2018-01-26,0.1,000:00:41
